,TimeStamp,Trade
213,23-09-2020 05:15:28.714 [DefaultMessageListenerContainer-1],20200923045545
214,23-09-2020 05:15:28.719 [DefaultMessageListenerContainer-1],20200923045546
215,23-09-2020 05:15:28.725 [DefaultMessageListenerContainer-1],20200923045547
216,23-09-2020 05:15:28.731 [DefaultMessageListenerContainer-1],20200923045548
217,23-09-2020 05:15:28.735 [DefaultMessageListenerContainer-1],20200923045549
218,23-09-2020 05:15:28.740 [DefaultMessageListenerContainer-1],20200923045550
219,23-09-2020 05:15:28.744 [DefaultMessageListenerContainer-1],20200923045551
220,23-09-2020 05:15:28.749 [DefaultMessageListenerContainer-1],20200923045552
221,23-09-2020 05:15:28.753 [DefaultMessageListenerContainer-1],20200923045553
222,23-09-2020 05:15:28.757 [DefaultMessageListenerContainer-1],20200923045554
223,23-09-2020 05:15:28.761 [DefaultMessageListenerContainer-1],20200923045555
224,23-09-2020 05:15:28.765 [DefaultMessageListenerContainer-1],20200923045557
225,23-09-2020 05:15:28.769 [DefaultMessageListenerContainer-1],20200923045558
226,23-09-2020 05:15:28.773 [DefaultMessageListenerContainer-1],20200923045559
227,23-09-2020 05:15:28.802 [DefaultMessageListenerContainer-1],20200923045600
228,23-09-2020 05:15:28.809 [DefaultMessageListenerContainer-1],20200923045601
229,23-09-2020 05:15:28.813 [DefaultMessageListenerContainer-1],20200923045602
230,23-09-2020 05:15:28.817 [DefaultMessageListenerContainer-1],20200923045603
231,23-09-2020 05:15:28.824 [DefaultMessageListenerContainer-1],20200923045604
232,23-09-2020 05:15:28.828 [DefaultMessageListenerContainer-1],20200923045605
233,23-09-2020 05:15:28.832 [DefaultMessageListenerContainer-1],20200923045606
234,23-09-2020 05:15:28.840 [DefaultMessageListenerContainer-1],20200923045607
235,23-09-2020 05:15:28.844 [DefaultMessageListenerContainer-1],20200923045608
236,23-09-2020 05:15:28.850 [DefaultMessageListenerContainer-1],20200923045609
237,23-09-2020 05:15:28.854 [DefaultMessageListenerContainer-1],20200923045610
238,23-09-2020 05:15:28.858 [DefaultMessageListenerContainer-1],20200923045611
239,23-09-2020 05:15:28.865 [DefaultMessageListenerContainer-1],20200923045612
