,Trade,StartTime,EndTime,ElapseTime
509,20200923045736,23-09-2020 05:15:31.070000,23-09-2020 05:17:31.308000,120238.0
510,20200923045737,23-09-2020 05:15:29.188000,23-09-2020 05:19:06.570000,217382.0
511,20200923045737,23-09-2020 05:15:31.074000,23-09-2020 05:18:17.800000,166726.0
512,20200923045738,23-09-2020 05:15:29.194000,23-09-2020 05:18:55.822000,206628.0
513,20200923045738,23-09-2020 05:15:31.078000,23-09-2020 05:17:37.401000,126323.0
514,20200923045739,23-09-2020 05:15:29.204000,23-09-2020 05:18:56.911000,207707.0
515,20200923045739,23-09-2020 05:15:31.082000,23-09-2020 05:17:38.011000,126929.0
516,20200923045740,23-09-2020 05:15:29.225000,23-09-2020 05:18:18.522000,169297.0
517,20200923045740,23-09-2020 05:15:31.086000,23-09-2020 05:20:29.015000,297929.0
518,20200923045741,23-09-2020 05:15:29.238000,23-09-2020 05:17:39.017000,129779.0
519,20200923045741,23-09-2020 05:15:31.090000,23-09-2020 05:20:20.260000,289170.0
520,20200923045742,23-09-2020 05:15:31.093000,23-09-2020 05:17:35.499000,124406.0
521,20200923045742,23-09-2020 05:15:29.250000,23-09-2020 05:19:02.608000,213358.0
522,20200923045743,23-09-2020 05:15:29.254000,23-09-2020 05:20:26.461000,297207.0
523,20200923045743,23-09-2020 05:15:31.097000,23-09-2020 05:18:22.039000,170942.0
524,20200923045744,23-09-2020 05:15:31.107000,23-09-2020 05:18:58.798000,207691.0
525,20200923045744,23-09-2020 05:15:29.259000,23-09-2020 05:18:26.918000,177659.0
526,20200923045745,23-09-2020 05:15:29.263000,23-09-2020 05:19:05.876000,216613.0
527,20200923045745,23-09-2020 05:15:31.120000,23-09-2020 05:18:23.705000,172585.0
528,20200923045746,23-09-2020 05:15:29.267000,23-09-2020 05:18:19.413000,170146.0
529,20200923045746,23-09-2020 05:15:31.128000,23-09-2020 05:19:08.765000,217637.0
530,20200923045747,23-09-2020 05:15:29.271000,23-09-2020 05:17:34.897000,125626.0
531,20200923045747,23-09-2020 05:15:31.134000,23-09-2020 05:20:31.917000,300783.0
532,20200923045748,23-09-2020 05:15:29.276000,23-09-2020 05:19:07.198000,217922.0
